Date,HS Code ,Product Name,Quantity,Unit,Unit Price (USD),CIF Value (USD),Importer Name,Supplier Name,Foreign Country
28-Oct-21,85030090,"GEARBOX 50HZ NGC RATIO 89.94 6P (NON CASTING COMPONANTS)
(NET WT.37935.00 KGS) (PARTS FOR MFG OF W.O.E.GENERATOR)",3,SET,124949.667,374849.001,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,ECUADOR
16-Jan-24,85030090,ROTOR HUB (PARTS OF W.O.E.GENERATORS FOR MFG OF S144 TYPE WIND TURBINE GENERATORS),6,SET,27264.457,163586.742,SUZLON ENERGY LTD,TONGYU HEAVY INDUSTRY CO LTD,CHINA
28-Oct-21,85030090,"GEARBOX 50HZ NGC RATIO 89.94 6P (NON CASTING COMPONANTS) (NET WT.37935.00 KGS)(PARTS
FOR MFG OF W.O.E.GENERATOR)",3,SET,124949.667,374849.001,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,GERMANY
03-Nov-21,85030090,"GEARBOX 50HZ NGC RATIO 89.94 6P (NON CASTING COMPONENTS) (NET WT.63225.00 KGS) (PARTS
FOR MFG OF W.O.E.GENERATORS)",5,SET,124949.666,624748.328,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,CHINA
27-Oct-21,85030090,"GEARBOX 50HZ NGC RATIO 89.94 6P (NET WT.252900.00 KGS) (NONCASTING COMPONENTS)
(PARTS FOR MFG OF W.O.E.GENERATOR)",20,SET,124949.666,2498993.322,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,CHINA
27-Oct-21,85030090,"GEARBOX 50HZ NGC RATIO 89.94 6P (NET WT.252900.00 KGS) (NONCASTING COMPONENTS)
(PARTS FOR MFG OF W.O.E.GENERATOR)",20,SET,124949.666,2498993.322,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,CHINA
29-Oct-21,85030090,"GEAR BOX 50HZ NGC RATIO 89.94 6P ( NET WT.101160 KGS)(NON CASTING
COMPONETS ) (PARTS FOR
MANUFACTURE OF WIND OPERATED EL",8,SET,124949.666,999597.329,SUZLON ENERGY LTD,"NANJING HIGH SPEED GEAR
MANUFACTURING CO LTD",ECUADOR
05-Jan-24,84592990,CUTTING SAW 560 MM HAITCH M/C (5245538) (PARTS OF W O E G),3,NOS,1038.912,3116.735,SUZLON ENERGY LTD,HAITCH CO LTD,CHINA
13-Jan-24,84834000,GEARBOX 50HZ NGC RATIO 89.94(PARTS FOR MFG OF W.O.E.GENERATORS FOR S120),5,SET,107089.795,535448.973,SUZLON,NANJING HIGH SPEEDGEAR MANUFACTURING CO LTD,CHINA
23-Jan-24,84833000,S133 GIRDER SYSTEMS MAIN BEAM LEFT (PARTS OF W.O.E.GENERATORFOR MFG OF TYPE SUZLON S144),20,PCS,2853.541,57070.814,SUZLON ENERGY LTD,CHANGZHOU SHUANGYE MACHINERY AND ELECTIC CO LTD,CHINA
29-Oct-21,85030090,"GEAR BOX 50HZ NGC RATIO 89.94 6P ( NET WT.63225 KGS)(NON CASTING COMPONETS ) (PARTS FOR MANUFACTURE OF WIND
OPERATED ELE",5,SET,124949.666,624748.328,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,GERMANY
